Title,ID,Country,Focal Areas,Type,Agencies,GEF Grant,Cofinancing,Status,Year (aproved year),Funding Source (indexed field),Non-Grant Instrument (indexed field),Capacity-building Initiative for Transparency,GEF Period,Total Fund
Peru’s Second Biennial Update Report (SBUR),9304,Regional,Climate Change,Enabling Activity,United Nations Development Programme,352000,50000,Completed,2015,GEF Trust Fund,No,No,GEF - 6,402000
Risk Mitigation Instrument for Land Restoration (Non-Grant),9277,Regional,Land Degradation,Full-size Project,Inter-American Development Bank,15000000,120000000,Project Approved,2017,GEF Trust Fund,Yes,No,GEF - 6,135000000
Regional Project on the Development of National Action Plans for the Artisanal and Small Scale Gold Mining in Africa,9276,Regional,Chemicals and Waste,Enabling Activity,United Nations Environment Programme,4000000,50000,Project Approved,2016,GEF Trust Fund,No,No,GEF - 6,4050000
Amazon Sustainable Landscapes Program,9272,Regional,"Biodiversity, Climate Change, Land Degradation",PFD,"The World Bank, United Nations Development Programme, World Wildlife Fund - US Chapter",0,682980000,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 6,682980000
Integrated Environmental Management of the Rio Motagua Watershed,9246,Regional,"International Waters, Chemicals and Waste",Full-size Project,United Nations Development Programme,5329452,28027876,Project Approved,2018,GEF Trust Fund,No,No,GEF - 6,33357328
Sustainable Management of Peatland Ecosystems in Mekong Countries,9232,Regional,"Biodiversity, Climate Change, Land Degradation",Full-size Project,International Union for Conservation of Nature,2907064,10360447,Project Approved,2018,GEF Trust Fund,No,No,GEF - 6,13267511
Wildlife and Human-Elephant Conflicts Management,9212,Regional,"Biodiversity, Land Degradation",Full-size Project,The World Bank,9055046,50800000,Project Approved,2016,GEF Trust Fund,No,No,GEF - 6,59855046
Development of Minamata Convention Mercury Initial Assessment in Pacific,9187,Regional,Chemicals and Waste,Enabling Activity,United Nations Environment Programme,500000,20000,Project Approved,2016,GEF Trust Fund,No,No,GEF - 6,520000
Development of Minamata Initial Assessment,9185,Regional,Chemicals and Waste,Enabling Activity,United Nations Environment Programme,800000,61000,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,861000
Development of Minamata Convention Mercury Initial Assessment in Africa,9173,Regional,Chemicals and Waste,Enabling Activity,United Nations Environment Programme,1000000,60000,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,1060000
Enabling Preparation of Ghana's Fourth National Communication (NC4) and Second Biennial Update Report (BUR2) to UNFCCC,9171,Regional,Climate Change,Enabling Activity,United Nations Environment Programme,852000,100000,Completed,2016,GEF Trust Fund,No,No,GEF - 6,952000
Preparation of Sri Lanka’s Third National Communication (TNC) to the UNFCCC,9169,Regional,Climate Change,Enabling Activity,United Nations Development Programme,500000,187000,Completed,2015,GEF Trust Fund,No,No,GEF - 6,687000
Enabling Implementation of the Regional SAP for the Rational and Equitable Management of the Nubian Sandstone Aquifer System (NSAS),9165,Regional,International Waters,Full-size Project,United Nations Development Programme,3990000,17730000,Completed,2018,GEF Trust Fund,No,No,GEF - 6,21720000
Regional Partnership for African Fisheries Policy Reform (RAFIP),9160,Regional,International Waters,Medium-size Project,The World Bank,2000000,12000000,Completed,2015,GEF Trust Fund,No,No,GEF - 6,14000000
"Food-IAP: Cross Cutting Capacity Building, Knowledge Services and Coordination Project for the Food Security Integrated Approach Pilot Program",9140,Regional,,Full-size Project,International Fund for Agricultural Development,10825688,85057850,Project Approved,2017,GEF Trust Fund,No,No,GEF - 6,95883538
Coastal Fisheries Initiative- Latin America,9124,Regional,"Biodiversity, International Waters",Full-size Project,United Nations Development Programme,6588991,65562889,Completed,2016,GEF Trust Fund,No,No,GEF - 6,72151880
Support to Preparation of the Third National Biosafety Reports to the Cartagena Protocol on Biosafety - Asia Pacific Region,9120,Regional,Biodiversity,Medium-size Project,United Nations Environment Programme,1099050,995000,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,2094050
Support to Preparation of the Third National Biosafety Reports to the Cartagena Protocol on Biosafety - GRULAC and CEE REGIONS,9119,Regional,Biodiversity,Medium-size Project,United Nations Environment Programme,1152950,1025000,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,2177950
Support to Preparation of the Third National Biosafety Reports to the Cartagena Protocol on Biosafety - AFRICA REGION,9118,Regional,Biodiversity,Medium-size Project,United Nations Environment Programme,1368550,1225000,Project Approved,2015,GEF Trust Fund,No,No,GEF - 6,2593550
The Ten Island Challenge: Derisking the Transition of the Caribbean from Fossil Fuels to Renewables,9112,Regional,Climate Change,Medium-size Project,United Nations Development Programme,1776484,304550000,Completed,2015,GEF Trust Fund,No,No,GEF - 6,306326484
Third National Communication (TNC) and First Biennial Update Report (BUR),9108,Regional,Climate Change,Enabling Activity,United Nations Development Programme,852000,500000,Completed,2015,GEF Trust Fund,No,No,GEF - 6,1352000
Minamata Convention Initial Assessment in Francophone Africa I,9101,Regional,Chemicals and Waste,Enabling Activity,United Nations Industrial Development Organization,600000,175800,Completed,2015,GEF Trust Fund,No,No,GEF - 6,775800
Minamata Convention Initial Assessment in Francophone Africa II,9098,Regional,Chemicals and Waste,Enabling Activity,United Nations Industrial Development Organization,800000,134400,Completed,2015,GEF Trust Fund,No,No,GEF - 6,934400
Integrated Natural Resources Management in Drought-prone and Salt-affected Agricultural Production Landscapes in Central Asia and Turkey (CACILM2),9094,Regional,"Climate Change, Land Degradation",Full-size Project,Food and Agriculture Organization,10874659,64885046,Project Approved,2017,GEF Trust Fund,No,No,GEF - 6,75759705
Integrated Health and Environment Observatories and Legal and Institutional Strengthening for the Sound Management of Chemicals in Africa (African ChemObs),9080,Regional,Chemicals and Waste,Full-size Project,United Nations Environment Programme,10500000,20332000,Project Approved,2017,GEF Trust Fund,No,No,GEF - 6,30832000
Food-IAP: Fostering Sustainability and Resilience for Food Security in Sub-Saharan Africa - An Integrated Approach (IAP-PROGRAM),9070,Regional,"Biodiversity, Climate Change, Land Degradation",PFD,"International Fund for Agricultural Development, United Nations Industrial Development Organization, Conservation International, The World Bank, United Nations Development Programme, Food and Agriculture Organization, United Nations Environment Programme",0,805361640,Concept Approved,1970,GEF Trust Fund,No,No,GEF - 6,805361640
Impact Investment in Support of the Implementation of the Nagoya Protocol on Access and Benefit Sharing (non-grant),9058,Regional,Biodiversity,Full-size Project,Inter-American Development Bank,10000000,65170000,Project Approved,2017,GEF Trust Fund,Yes,No,GEF - 6,75170000
Support to the Orange-Senqu River Strategic Action Programme Implementation,9054,Regional,International Waters,Full-size Project,United Nations Development Programme,10815137,364474492,Project Approved,2018,GEF Trust Fund,No,No,GEF - 6,375289629
Moringa Agro-forestry Fund for Africa (non-grant),9051,Regional,Land Degradation,Full-size Project,African Development Bank,12000000,50800000,Project Approved,2015,GEF Trust Fund,Yes,No,GEF - 6,62800000
Green Logistics Program (non-grant),9047,Regional,Climate Change,Full-size Project,European Bank for Reconstruction and Development,15000000,155250000,Project Approved,2016,GEF Trust Fund,Yes,No,GEF - 6,170250000
Investing in Renewable Energy Project Preparation under the Fund for Energy Inclusion (FEI),9043,Regional,Climate Change,Full-size Project,African Development Bank,10000000,610000000,Project Approved,2018,GEF Trust Fund,Yes,No,GEF - 6,620000000
Namibia’s Second Biennial Update Report (BUR2),9036,Regional,Climate Change,Enabling Activity,United Nations Development Programme,352000,50000,Completed,2015,GEF Trust Fund,No,No,GEF - 6,402000
Third National Communication and First Biennial Update Report to the UNFCCC,8030,Regional,Climate Change,Enabling Activity,United Nations Development Programme,852000,80000,Completed,2015,GEF Trust Fund,No,No,GEF - 6,932000
Building Resilience of Health Systems in Pacific Island LDCs to Climate Change,8018,Regional,Climate Change,Full-size Project,United Nations Development Programme,17850000,60805814,Project Approved,2020,Least Developed Countries Fund,No,No,GEF - 6,78655814
Building Resilience of Health Systems in Asian LDCs to Climate Change,6984,Regional,Climate Change,Full-size Project,United Nations Development Programme,9000000,27061600,Project Approved,2018,Least Developed Countries Fund,No,No,GEF - 6,36061600
Enhancing Capacity to Develop Global and Regional Environmental Projects in the Pacific,6982,Regional,,Medium-size Project,United Nations Development Programme,1000000,1914502,Completed,2014,GEF Trust Fund,No,No,GEF - 6,2914502
Continuing Regional Support for the POPs Global Monitoring Plan under the Stockholm Convention in the Pacific Region,6978,Regional,Chemicals and Waste,Medium-size Project,United Nations Environment Programme,1995000,6448604,Project Approved,2014,GEF Trust Fund,No,No,GEF - 6,8443604
Nigeria's First Biennial Update Report,6976,Regional,Climate Change,Enabling Activity,United Nations Development Programme,352000,482250,Completed,2014,GEF Trust Fund,No,No,GEF - 6,834250
Preparation of Papua New Guinea's Initial  Biennial Update Report to UNFCCC and the Third National Communication Report to the UNFCCC,6972,Regional,Climate Change,Enabling Activity,United Nations Environment Programme,852000,25000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 6,877000
Pacific Islands Regional Oceanscape Program (PROP),6970,Regional,"Biodiversity, International Waters",Full-size Project,The World Bank,6301370,25157290,Completed,2014,GEF Trust Fund,No,No,GEF - 6,31458660
Volta River Basin Strategic Action Programme Implementation Project,6964,Regional,International Waters,Full-size Project,The World Bank,7200000,36140000,Completed,2015,GEF Trust Fund,No,No,GEF - 6,43340000
Advancing IWRM Across the Kura River Basin through Implementation of the Transboundary Agreed Actions and National Plans,6962,Regional,International Waters,Full-size Project,United Nations Development Programme,5329452,194881670,Completed,2016,GEF Trust Fund,No,No,GEF - 6,200211122
Development of Minamata Convention on Mercury Initial Assessment in Africa,6944,Regional,Chemicals and Waste,Enabling Activity,United Nations Environment Programme,547945,505000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 6,1052945
Preparation of Trinidad and Tobago's Third National Communication and First Biennial Update Report to the UNFCCC,6938,Regional,Climate Change,Enabling Activity,United Nations Development Programme,952000,140200,Completed,2014,GEF Trust Fund,No,No,GEF - 6,1092200
Botswana's Third National Communication (TNC) to the UNFCCC and First Biennial Update Report (FBUR),6937,Regional,Climate Change,Enabling Activity,United Nations Development Programme,952000,103000,Completed,2014,GEF Trust Fund,No,No,GEF - 6,1055000
Egypt's First Biennial Update Report,6936,Regional,Climate Change,Enabling Activity,United Nations Development Programme,352000,30000,Completed,2014,GEF Trust Fund,No,No,GEF - 6,382000
Jordan's First Biennial Update Report,6935,Regional,Climate Change,Enabling Activity,United Nations Development Programme,352000,98000,Completed,2014,GEF Trust Fund,No,No,GEF - 6,450000
Implementation of the Arafura and Timor Seas Regional and National Strategic Action Programs,6920,Regional,"Biodiversity, International Waters",Full-size Project,United Nations Development Programme,9745662,60201173,Project Approved,2017,GEF Trust Fund,No,No,GEF - 6,69946835
First South West Indian Ocean Fisheries Governance and Shared Growth Project (SWIOFish 1),5905,Regional,International Waters,Full-size Project,The World Bank,15500000,57399471,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,72899471
Support NAP Alignment and UNCCD Reporting,5899,Regional,Land Degradation,Enabling Activity,United Nations Development Programme,136986,40000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,176986
Alignment of the National Action Programs of Argentina with the UNCCD Ten-Year Strategy,5897,Regional,Land Degradation,Enabling Activity,Food and Agriculture Organization,136986,340380,Completed,2014,GEF Trust Fund,No,No,GEF - 5,477366
Support to the Alignment of Jamaica’s National Action Programme to the UNCCD 10 Year Strategy and Preparation of the Reporting and Review process.,5893,Regional,Land Degradation,Enabling Activity,United Nations Environment Programme,136986,160000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,296986
Tunisia's First Biennial Update Report,5892,Regional,Climate Change,Enabling Activity,United Nations Development Programme,406818,184000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,590818
Preparation of Saudi Arabia’s Initial Biennial Update Report to UNFCCC,5891,Regional,Climate Change,Enabling Activity,United Nations Environment Programme,352000,104000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,456000
Support to Alignment of Lebanon’s National Action Programme to the UNCCD 10 Year Strategy and Reporting Process.,5889,Regional,Land Degradation,Enabling Activity,United Nations Environment Programme,136986,155000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,291986
National Biodiversity Strategy and Action Plan,5888,Regional,Biodiversity,Enabling Activity,Inter-American Development Bank,440000,100000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,540000
Support to Alignment of  Kiribati’s National Action Programme to the UNCCD Ten-Year Strategy and Reporting  Process,5885,Regional,Land Degradation,Enabling Activity,United Nations Environment Programme,136986,147305,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,284291
Support to the Alignment of National Action Programme to the UNCCD 10 Years Strategy and Reporting Process,5884,Regional,Land Degradation,Enabling Activity,United Nations Environment Programme,136986,150000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,286986
Support to Alignment of Samoa’s National Action Programme (NAP) to the UNCCD 10 Year Strategy and Preparation of the Reporting and Review process.,5883,Regional,Land Degradation,Enabling Activity,United Nations Environment Programme,136986,160000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,296986
Development of Minamata Initial Assessment in LAC,5879,Regional,Chemicals and Waste,Enabling Activity,United Nations Environment Programme,730594,935000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,1665594
Support to Alignment of Botswana’s National Action Programme to the UNCCD 10-Year Strategy implementation and Reporting review Process,5877,Regional,Land Degradation,Enabling Activity,United Nations Environment Programme,136986,150000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,286986
Second Communication to the UNFCCC,5874,Regional,Climate Change,Enabling Activity,United Nations Development Programme,1000000,190000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,1190000
Development of Minamata Initial Assessment in Three Asian Countries,5863,Regional,Chemicals and Waste,Enabling Activity,United Nations Environment Programme,730594,1702084,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,2432678
Development of Minamata Convention on Mercury Initial Assessment in Africa,5860,Regional,Chemicals and Waste,Enabling Activity,United Nations Environment Programme,913242,1129943,Completed,2014,GEF Trust Fund,No,No,GEF - 5,2043185
Togo's First Biennial Update Report (FBUR),5850,Regional,Climate Change,Enabling Activity,United Nations Development Programme,352000,60000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,412000
Engaging Policy Makers and the Judiciary to Address Poaching and Illegal Wildlife Trade in Africa,5821,Regional,Biodiversity,Medium-size Project,United Nations Environment Programme,1900000,5687930,Project Approved,2015,GEF Trust Fund,No,No,GEF - 5,7587930
Building Climate Resilience of Urban Systems through Ecosystem-based Adaptation (EbA) in the Asia-Pacific Region,5815,Regional,Climate Change,Full-size Project,United Nations Environment Programme,6000000,88190417,Project Approved,2017,Least Developed Countries Fund,No,No,GEF - 5,94190417
Pacific Resilience Program,5814,Regional,Climate Change,Full-size Project,The World Bank,5479452,40217000,Project Approved,2015,Special Climate Change Fund,No,No,GEF - 5,45696452
Turkey's First Biennial  Report (FBR),5813,Regional,Climate Change,Enabling Activity,United Nations Development Programme,352000,60000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,412000
Closing the Gaps in Great Green Wall: Linking Sectors and Stakeholders for Increased Synergy and Scaling-up,5811,Regional,Land Degradation,Medium-size Project,United Nations Environment Programme,1726400,12035943,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,13762343
Preparation of  Benin's First Biennial Update Report (BUR1) to UNFCCC,5807,Regional,Climate Change,Enabling Activity,United Nations Environment Programme,352000,33000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,385000
Georgia's First Biennial Update Report,5805,Regional,Climate Change,Enabling Activity,United Nations Development Programme,352000,64000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,416000
Preparation of  Mongolia's First Biennial Update Report (BUR) to UNFCCC,5803,Regional,Climate Change,Enabling Activity,United Nations Environment Programme,352000,35000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,387000
Adaptive Management and Monitoring of the Maghreb's Oases Systems,5798,Regional,Land Degradation,Medium-size Project,Food and Agriculture Organization,1726484,6315000,Completed,2015,GEF Trust Fund,No,No,GEF - 5,8041484
A Bottom Up Approach to ABS: Community Level Capacity Development for Successful Engagement in ABS Value Chains in Cameroon (Echinops giganteus),5796,Regional,Biodiversity,Medium-size Project,United Nations Development Programme,900000,1700000,Completed,2016,Multi Trust Fund,No,No,GEF - 5,2600000
Colombia's First Biennial Update Report,5791,Regional,Climate Change,Enabling Activity,United Nations Development Programme,352000,15881,Completed,2014,GEF Trust Fund,No,No,GEF - 5,367881
Support NAP Alignment and UNCCD Reporting in Antigua and Barbuda,5780,Regional,Land Degradation,Enabling Activity,United Nations Development Programme,136986,280000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,416986
Preparation of Third National Communication (TNC) to the UNFCCC and  Capacity Strengthening on Climate Change,5777,Regional,Climate Change,Enabling Activity,United Nations Development Programme,1850000,8600000,Completed,2015,GEF Trust Fund,No,No,GEF - 5,10450000
Advancing the Nagoya Protocol in Countries of the Caribbean Region,5774,Regional,Biodiversity,Medium-size Project,United Nations Environment Programme,1826000,3809257,Completed,2015,GEF Trust Fund,No,No,GEF - 5,5635257
"Strengthening the Institutional Capacity of African Network of Basin Organization (ANBO), Contributing to the Improved Transboundary Water Governance in Africa",5772,Regional,International Waters,Medium-size Project,United Nations Development Programme,2000000,8431970,Completed,2016,GEF Trust Fund,No,No,GEF - 5,10431970
Improving Mangrove Conservation across the Eastern Tropical Pacific Seascape (ETPS) through Coordinated Regional and National Strategy Development and Implementation,5771,Regional,International Waters,Medium-size Project,World Wildlife Fund - US Chapter,1900810,4516858,Completed,2016,GEF Trust Fund,No,No,GEF - 5,6417668
Enabling Transboundary Cooperation for Sustainable Management of the Indonesian Seas,5768,Regional,International Waters,Full-size Project,Food and Agriculture Organization,4000000,25114000,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,29114000
Integrated Transboundary Ridges-to-Reef Management of the Mesoamerican Reef,5765,Regional,International Waters,Full-size Project,World Wildlife Fund - US Chapter,9018349,51277908,Project Approved,2017,GEF Trust Fund,No,No,GEF - 5,60296257
National Biodiversity Planning to Support the Implementation of the CBD 2011-2020 Strategic Plan,5756,Regional,Biodiversity,Enabling Activity,United Nations Development Programme,220000,270000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,490000
IDB-GEF Climate-Smart Agriculture Fund for Latin America and the Caribbean (PROGRAM),5754,Regional,"Climate Change, Land Degradation",Full-size Project,Inter-American Development Bank,5000000,50859000,Project Approved,2015,GEF Trust Fund,Yes,No,GEF - 5,55859000
Realizing the Inclusive and Sustainable Development in the BCLME Region through the Improved Ocean Governance and the Integrated Management of Ocean use and Marine Resources. Short Title – Improving Ocean Governance and Integrated Management in the BCLME,5753,Regional,International Waters,Full-size Project,United Nations Development Programme,10900000,163915000,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,174815000
Integrated Water Resources Management in the Titicaca-Desaguadero-Poopo-Salar de Coipasa (TDPS) System,5748,Regional,International Waters,Full-size Project,United Nations Development Programme,6563750,40729400,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,47293150
Development of Kazakhstan’s National communication to the UNFCCC and Biennial Report,5740,Regional,Climate Change,Enabling Activity,United Nations Development Programme,852000,856768,Completed,2014,GEF Trust Fund,No,No,GEF - 5,1708768
West Balkans Drina River Basin Management Project,5723,Regional,Climate Change,Full-size Project,The World Bank,4366210,74110000,Completed,2016,Special Climate Change Fund,No,No,GEF - 5,78476210
Honduras Third National Communication (3NC) and First Biennial Update Report (FBUR),5711,Regional,Climate Change,Enabling Activity,United Nations Development Programme,852000,195000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,1047000
Rural Livelihoods's  Adaptation to Climate Change in the Horn of Africa -Phase II (RLACC II),5710,Regional,Climate Change,PFD,African Development Bank,7082407,30600000,Concept Approved,1970,Least Developed Countries Fund,No,No,GEF - 5,37682407
Reducing Environmental and Health Risks to Vulnerable Communities from Lead Contamination from Lead Paint and Recycling of Used Lead Acid Batteries,5701,Regional,Chemicals and Waste,Medium-size Project,United Nations Development Programme,838000,2471000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,3309000
Enabling the Sultanate of Oman to Prepare Its Second National Communication (SNC) and Biennial Update Report (BUR) to the UNFCCC,5697,Regional,Climate Change,Enabling Activity,United Nations Environment Programme,852000,675000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,1527000
Support to Dominica for Development of  National Action Program Aligned to the UNCCD 10 Year Strategy and Reporting  Process under UNCCD,5684,Regional,Land Degradation,Enabling Activity,United Nations Environment Programme,136986,190000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,326986
Building Climate Resilience of Urban Systems through Ecosystem-based Adaptation (EbA) in Latin America and the Caribbean.,5681,Regional,Climate Change,Full-size Project,United Nations Environment Programme,6000000,29734000,Project Approved,2016,Special Climate Change Fund,No,No,GEF - 5,35734000
Lakes Edward and Albert Integrated Fisheries and Water Resources Management Project,5674,Regional,International Waters,Full-size Project,African Development Bank,8100000,23425000,Completed,2016,GEF Trust Fund,No,No,GEF - 5,31525000
Preparation of  Viet Nam's Initial Biennial Update Report to UNFCCC,5672,Regional,Climate Change,Enabling Activity,United Nations Environment Programme,352000,33000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,385000
Climate Change Adaptation in the Eastern Caribbean Fisheries Sector,5667,Regional,Climate Change,Full-size Project,Food and Agriculture Organization,5460000,37542000,Completed,2016,Special Climate Change Fund,No,No,GEF - 5,43002000
R2R Integrated Environmental Management of the Fanga’uta Lagoon Catchment,5663,Regional,"Biodiversity, Climate Change, International Waters, Land Degradation",Medium-size Project,United Nations Development Programme,1756880,6650000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,8406880
Enabling Republic of Moldova to Prepare its Fourth National Communication (4NC) and Biennial Update Report (BUR) to the UNFCCC,5659,Regional,Climate Change,Enabling Activity,United Nations Environment Programme,852000,100000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,952000
Argentine Republic First Biennial Update Report (BUR),5658,Regional,Climate Change,Enabling Activity,The World Bank,300854,31000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,331854
Promotion of Clean and Green Cities in China Through International Cooperation,5650,Regional,Climate Change,Medium-size Project,The World Bank,2000000,7000000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,9000000
Third National Communication (TNC),5645,Regional,Climate Change,Enabling Activity,United Nations Development Programme,500000,131000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,631000
National Biodiversity Planning to Support the Implementation of the CBD 2011-2020 Strategic Plan,5642,Regional,Biodiversity,Enabling Activity,United Nations Development Programme,220000,140000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,360000
Armenia's First Biennial Update Report 2014 to the UNFCCC,5641,Regional,Climate Change,Enabling Activity,United Nations Development Programme,352000,66000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,418000
Support to Alignment of Tunisia’s National Action Programme to the UNCCD 10-Year Strategy Implementation and Reporting Review Process,5637,Regional,Land Degradation,Enabling Activity,United Nations Environment Programme,136986,150000,Project Approved,2013,GEF Trust Fund,No,No,GEF - 5,286986
Montenegro's First Biennial Update Report,5635,Regional,Climate Change,Enabling Activity,United Nations Development Programme,352000,81000,Completed,2014,GEF Trust Fund,No,No,GEF - 5,433000
Ratification and Implementation of the Nagoya Protocol in the Countries of the Pacific Region,5634,Regional,Biodiversity,Medium-size Project,United Nations Environment Programme,1762557,1234000,Project Approved,2016,NPIF,No,No,GEF - 5,2996557
Lead Paint Elimination Project in Africa,5633,Regional,Chemicals and Waste,Medium-size Project,United Nations Environment Programme,1000000,3234365,Completed,2013,GEF Trust Fund,No,No,GEF - 5,4234365
National Biodiversity Planning to Support the Implementation of the CBD 2011-2020 Strategic Plan in South Sudan by Development of the first National Biodiversity Strategy and Action Plan (NBSAP),5631,Regional,Biodiversity,Enabling Activity,United Nations Development Programme,220000,100000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,320000
Preparation of Côte d’Ivoire’s Initial Biennial Update Report to UNFCCC,5618,Regional,Climate Change,Enabling Activity,United Nations Environment Programme,352000,30000,Project Approved,2013,GEF Trust Fund,No,No,GEF - 5,382000
Preparation of  Mauritania's Initial Biennial Update Report to UNFCCC,5617,Regional,Climate Change,Enabling Activity,United Nations Environment Programme,352000,30000,Project Approved,2013,GEF Trust Fund,No,No,GEF - 5,382000
First Biennial Update Report,5598,Regional,Climate Change,Enabling Activity,GEF Secretariat,352000,55000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 6,407000
Support the Alignment of the National Action Plan (NAP) for Land Degradation with the UNCCD’s 10-Year Strategy,5597,Regional,Land Degradation,Enabling Activity,United Nations Development Programme,136986,90000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,226986
Enabling Kuwait to Prepare Its Second National Communication (SNC) and Biennial Update Report (BUR) to the UNFCCC,5590,Regional,Climate Change,Enabling Activity,United Nations Environment Programme,852000,665000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,1517000
REDUCING ENVIRONMENTAL HEALTH IMPACTS OF HARMFUL POLLUTANTS IN AFRICA REGION,5583,Regional,"Chemicals and Waste, Chemicals and Waste",Medium-size Project,The World Bank,2000000,2000000,Project Approved,2014,GEF Trust Fund,No,No,GEF - 5,4000000
Serbia's First Biennial Update Report,5576,Regional,Climate Change,Enabling Activity,United Nations Development Programme,352000,49827,Completed,2013,GEF Trust Fund,No,No,GEF - 5,401827
Peru’s First Biennial Update Report (FBUR),5574,Regional,Climate Change,Enabling Activity,United Nations Development Programme,352000,49200,Completed,2013,GEF Trust Fund,No,No,GEF - 5,401200
Costa Rica’s First Biennial Update Report,5572,Regional,Climate Change,Enabling Activity,United Nations Development Programme,352000,434000,Completed,2013,GEF Trust Fund,No,No,GEF - 5,786000
Development and Implementation of a Sustainable Management Mechanism for POPs  in the Caribbean,5558,Regional,"Chemicals and Waste, Chemicals and Waste",Full-size Project,United Nations Industrial Development Organization,8839000,21124103,Project Approved,2015,GEF Trust Fund,No,No,GEF - 5,29963103
West Balkans Drina River Basin Management,5556,Regional,International Waters,Full-size Project,The World Bank,4366210,25890000,Completed,2016,GEF Trust Fund,No,No,GEF - 5,30256210
Strengthening of National Initiatives and Enhancement of Regional Cooperation for the Environmentally Sound Management of POPs in Waste of Electronic or Electrical Equipment (WEEE) in Latin-American Countries,5554,Regional,Chemicals and Waste,Full-size Project,United Nations Industrial Development Organization,9500000,71411312,Project Approved,2017,GEF Trust Fund,No,No,GEF - 5,80911312
"Resilient Islands, Resilient Communities",5551,Regional,"Biodiversity, International Waters, Land Degradation",Full-size Project,Food and Agriculture Organization,4720030,13340000,Project Approved,2018,GEF Trust Fund,No,No,GEF - 5,18060030
R2R Implementing a Ridge to Reef Approach to Protect Biodiversity and Ecosystem Functions,5550,Regional,"Biodiversity, Climate Change, International Waters, Land Degradation",Full-size Project,United Nations Development Programme,3762844,15680591,Completed,2015,GEF Trust Fund,No,No,GEF - 5,19443435
R2R Reimaanlok  Looking to the Future: Strengthening Natural Resource Management in Atoll Communities in the Republic of Marshall Islands Employing Integrated Approaches (RMI R2R),5544,Regional,"Biodiversity, Climate Change, International Waters, Land Degradation",Full-size Project,United Nations Development Programme,3927981,4057139,Project Approved,2017,GEF Trust Fund,No,No,GEF - 5,7985120
Catalyzing Implementation of the Strategic Action Programme for the Sustainable Management of Shared Living Marine Resources in the Caribbean and North Brazil Shelf Large Marine Ecosystems (CMLE+),5542,Regional,International Waters,Full-size Project,United Nations Development Programme,12500000,134153695,Completed,2015,GEF Trust Fund,No,No,GEF - 5,146653695
Third National Communication (TNC) and Biennial Update Report to the UNFCCC,5540,Regional,Climate Change,Enabling Activity,United Nations Development Programme,852000,178900,Completed,2014,GEF Trust Fund,No,No,GEF - 5,1030900
Implementing the Strategic Action Programme for the South China Sea,5538,Regional,International Waters,Full-size Project,United Nations Environment Programme,15000000,83451948,Project Approved,2016,GEF Trust Fund,No,No,GEF - 5,98451948
