Title,ID,Country,Focal Areas,Type,Agencies,GEF Grant,Cofinancing,Status,Year (aproved year),Funding Source (indexed field),Non-Grant Instrument (indexed field),Capacity-building Initiative for Transparency,GEF Period,Total Fund
Identification and Implementation of Adaptation Response Measures in the Drini-Mati River Deltas,3415,Albania,Climate Change,Medium-size Project,United Nations Development Programme,975000,984525,Completed,2008,GEF Trust Fund,No,No,GEF - 4,1959525
"World Bank-GEF Investment Fund for the Mediterranean Sea Large Marine Ecosystem Partnership, Tranche 1, 2nd Installment",3229,Albania,International Waters,Full-size Project,The World Bank,905000,45000000,Project Approved,2007,GEF Trust Fund,No,No,GEF - 4,45905000
Capacity Building on Obsolete Pesticides in EECCA Countries,3212,Albania,"Chemicals and Waste, Chemicals and Waste",Medium-size Project,Food and Agriculture Organization,1000000,1396550,Completed,2008,GEF Trust Fund,No,No,GEF - 4,2396550
Promoting Replication of Good Practices for Nutrient Reduction and Joint Collaboration in Central and Eastern Europe,2746,Albania,International Waters,Medium-size Project,United Nations Development Programme,974816,1399846,Completed,2008,GEF Trust Fund,No,No,GEF - 4,2374662
Natural Resources Development Project,2669,Albania,,Full-size Project,The World Bank,5000000,14400000,Completed,2005,GEF Trust Fund,No,No,GEF - 3,19400000
Strategic Partnership for the Mediterranean Large Marine Ecosystem-Regional Component: Implementation of Agreed Actions for the Protection of the Environmental Resources of the Mediterranean Sea and Its Coastal Areas,2600,Albania,International Waters,Full-size Project,"United Nations Environment Programme, United Nations Industrial Development Organization",12891000,36548200,Completed,2008,GEF Trust Fund,No,No,GEF - 4,49439200
Assessment of Capacity Building Needs to Address the Priorities of the BSAP - Phase II,2559,Albania,Biodiversity,Enabling Activity,The World Bank,324000,0,Completed,2004,GEF Trust Fund,No,No,GEF - 3,324000
National Capacity Self-Assessment (NCSA) for Global Environment Management,2201,Albania,,Enabling Activity,United Nations Development Programme,198000,30000,Completed,2004,GEF Trust Fund,No,No,GEF - 3,228000
Butrint National Park: Biodiversity and Global Heritage Conservation,2152,Albania,Biodiversity,PFD,The World Bank,950000,1208160,Completed,2007,GEF Trust Fund,No,No,GEF - 4,2158160
Lake Skader-Shkoder Integrated Ecosystem Management,2133,Albania,International Waters,Full-size Project,The World Bank,4550000,15210000,Completed,2008,GEF Trust Fund,No,No,GEF - 4,19760000
Preparation of the POPs National Implementation Plan under the Stockholm Convention,2090,Albania,Chemicals and Waste,Enabling Activity,United Nations Development Programme,347000,0,Completed,2003,GEF Trust Fund,No,No,GEF - 3,347000
Climate Change Enabling Activity (Additional Financing for Capacity Building in Priority Areas),1554,Albania,Climate Change,Enabling Activity,United Nations Development Programme,100000,0,Project Approved,2001,GEF Trust Fund,No,No,GEF - 2,100000
"Integrated Ecosystem Management in the Prespa Lakes Basin of Albania, FYR-Macedonia and Greece",1537,Albania,,Full-size Project,United Nations Development Programme,4135000,8636000,Completed,2006,GEF Trust Fund,No,No,GEF - 3,12771000
Integrated Water and Ecosystems Management Project,1080,Albania,,Full-size Project,The World Bank,4870000,15130000,Completed,2004,GEF Trust Fund,No,No,GEF - 3,20000000
