AID Contribution 000 US$,Magnitude,Latitude,Longitude,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs 000 US$,"Reconstruction Costs, Adjusted 000 US$",Insured Damage 000 US$,"Insured Damage, Adjusted 000 US$",Total Damage 000 US$,"Total Damage, Adjusted 000 US$",CPI,duration,Start Year,Start Year GDP current US$,End Year,End Year GDP current US$
172.6,101.94,-16.1018,100.02959999999999,26.0,45.8,9880.0,6428.8,5465.0,59000.0,86308.2,38840.0,175866.4,75340.0,436980.4,9.927744057,1.0,1962.0,281896800.0,1962.0,281896800.0
40415.0,3377.6600000000008,23.338600000000003,38.733399999999996,67.4,64.8,40000.0,5007.8,40000.0,2520012.6,2992040.6,41120.0,79311.4,9920.0,31322.8,9.927744057,1.0,1962.0,42161481858.0,1962.0,42161481858.0
40415.0,3333.78,23.338600000000003,38.733399999999996,100.0,67.4,113382.2,63315.0,174426.0,2520012.6,2992040.6,41120.0,79311.4,17320.0,54688.6,9.927744057,1.0,1962.0,42161481858.0,1962.0,42161481858.0
40415.0,3333.78,23.338600000000003,38.733399999999996,73.0,67.4,113382.2,63315.0,174426.0,2520012.6,2992040.6,41120.0,79311.4,17320.0,54688.6,9.927744057,1.0,1962.0,42161481858.0,1962.0,42161481858.0
506.2,7.3,35.656,49.843,12000.0,3000.0,100000.0,5120.0,103000.0,59000.0,86308.2,110300.0,235808.8,30000.0,302183.0,9.927744057,1.0,1962.0,4693566416.0,1962.0,4693566416.0
4936.0,6.1,41.4,15.5,16.0,196.4,169030.6,30000.0,30000.0,2163200.0,2595410.8,34060.0,70319.2,86280.0,157832.0,9.927744057,1.0,1962.0,52413872628.0,1962.0,52413872628.0
24429.6,25787.364,6.5954,28.441999999999997,71.0,674.0,7361337.8,7007.8,7363927.8,2163200.0,2595410.8,107000.0,184134.2,810260.0,1338693.8,9.927744057,1.0,1962.0,64987857542.0,1962.0,64987857542.0
1849.4,-0.48000000000000026,32.580799999999996,65.29419999999999,290.0,189.4,46885.0,5772.4,40939.0,59000.0,86308.2,175360.0,298381.4,24506.0,28195.6,9.927744057,1.0,1962.0,2814615385.0,1962.0,2814615385.0
3112.6,2678.198,14.425059999999998,4.708399999999999,50.0,312.2,17632.6,53928.4,17634.6,2486096.8,3426978.4,44432.4,58378.0,10124.0,15267.0,9.927744057,1.0,1962.0,15200000000.0,1962.0,15200000000.0
3717.6,999.0,-1.0659999999999996,105.75999999999999,2000.0,5765.4,23422.4,62040.0,23422.4,59000.0,86308.2,181360.0,305198.8,200000.0,2014556.0,9.927744057,1.0,1962.0,3284322201.0,1962.0,3284322201.0
6179.8,685.0,-1.0659999999999996,105.75999999999999,60.0,5765.4,23422.4,62040.0,23422.4,59000.0,86308.2,181360.0,305198.8,52400.0,469737.2,9.927744057,1.0,1962.0,3284322201.0,1962.0,3284322201.0
6179.8,685.0,-1.0659999999999996,105.75999999999999,41.0,5765.4,23422.4,62040.0,23422.4,59000.0,86308.2,181360.0,305198.8,52400.0,469737.2,9.927744057,1.0,1962.0,3284322201.0,1962.0,3284322201.0
9338.6,219.6,9.1068,46.236,41.0,156.8,26462.8,18500.0,28922.8,82600.0,114099.6,110300.0,235808.8,7400.0,12710.2,9.927744057,1.0,1962.0,4954593072.0,1962.0,4954593072.0
9338.6,219.6,9.1068,46.236,156.0,156.8,26462.8,18500.0,28922.8,82600.0,114099.6,110300.0,235808.8,7400.0,12710.2,9.927744057,1.0,1962.0,4954593072.0,1962.0,4954593072.0
4758.6,437.0,7.987,85.95199999999998,769.0,5813.4,2667.0,30277.2,2667.0,59000.0,86308.2,181360.0,305198.8,19000.0,191383.0,9.927744057,1.0,1962.0,3308912797.0,1962.0,3308912797.0
2173.2,48.36,10.5592,19.762600000000003,40.0,4674.6,101792.2,70714.0,175619.8,59000.0,86308.2,47120.0,207451.8,242200.0,1384105.6,9.927744057,1.0,1962.0,880027733.3,1962.0,880027733.3
17759.2,10258.84,25.08848,2.922799999999998,33.0,934.4,602498.0,47189.0,2452.6,2186589.6,2371549.0,99180.0,211413.4,200000.0,2014556.0,9.927744057,1.0,1962.0,604000000000.0,1962.0,604000000000.0
17759.2,10258.84,25.08848,2.922799999999998,13.0,934.4,602498.0,47189.0,2452.6,2186589.6,2371549.0,99180.0,211413.4,150000.0,1510917.0,9.927744057,1.0,1962.0,604000000000.0,1962.0,604000000000.0
17759.2,10258.84,25.08848,2.922799999999998,112.0,933.4,602498.0,47189.0,2452.6,2186589.6,2371549.0,99180.0,211413.4,122560.0,810192.2,9.927744057,1.0,1962.0,604000000000.0,1962.0,604000000000.0
10053.4,27182.4,19.55322,47.015,30.0,778.4,216305.8,13333.4,216268.4,2339816.8,3272888.0,96400.0,157106.4,24491.0,84032.4,9.927744057,1.0,1962.0,8814309884.0,1962.0,8814309884.0
2932.6,-22.0,20.3882,67.941,12.0,638.0,7262.0,204429.0,7270.0,2486096.8,3426978.4,37432.4,47316.2,24400.0,35660.8,10.05081019,32.0,1963.0,14445805381.0,1963.0,14445805381.0
598.8,4698.0,7.463600000000001,84.38520000000001,22000.0,291.0,1000000.0,5635.6,1000000.0,82600.0,114099.6,110300.0,235808.8,50000.0,497472.0,10.05081019,1.0,1963.0,5319458563.0,1963.0,5319458563.0
285.6,4667.4,7.463600000000001,84.38520000000001,30.0,291.0,228246.6,5635.6,229034.8,82600.0,114099.6,110300.0,235808.8,91076.2,275230.4,10.05081019,1.0,1963.0,5319458563.0,1963.0,5319458563.0
285.6,4667.4,7.463600000000001,84.38520000000001,79.0,291.0,228246.6,5635.6,229034.8,82600.0,114099.6,110300.0,235808.8,91076.2,275230.4,10.05081019,1.0,1963.0,5319458563.0,1963.0,5319458563.0
1613.6,141.45999999999998,-2.4374,104.9932,54.2,36.8,6856.4,5738.4,7596.4,59000.0,86308.2,38840.0,175866.4,1500.0,14924.0,10.05081019,1.0,1963.0,237649991.4,1963.0,237649991.4
983.4,2779.2,-3.476400000000001,70.8006,15.0,200.0,5000.0,5719.2,5200.0,59000.0,86308.2,36320.0,172733.8,354900.0,452480.2,10.05081019,1.0,1963.0,511902136.8,1963.0,511902136.8
3366.4,100.52000000000001,12.565999999999999,51.46759999999999,400.0,204.4,51495.0,12350.0,51475.0,59000.0,86308.2,47120.0,207451.8,60000.0,596967.0,10.05081019,1.0,1963.0,940799900.0,1963.0,940799900.0
2171.2,2404.6040000000003,6.714918,27.7736,246.6,41.0,45400.0,3152.0,45400.0,59000.0,86308.2,164040.0,295723.4,15440.0,56875.4,10.05081019,1.0,1963.0,2702982018.0,1963.0,2702982018.0
172.6,144.62,-16.1018,100.0296,5000.0,32.6,28684.8,11522.0,18512.6,59000.0,86308.2,38840.0,175866.4,180000.0,1790900.0,10.05081019,4.0,1963.0,294883400.0,1963.0,294883400.0
